step,key,operations,nanos
698,28668,9,4500
699,863113,9,4800
700,376138,10,11800
701,303795,7,4100
702,921587,9,30900
703,383732,9,5500
704,434567,10,4900
705,541449,7,4700
706,329988,13,10800
707,154281,11,4900
708,192020,10,4500
709,297556,7,4000
710,197856,9,4200
711,7859,12,4800
712,797218,5,4200
713,78049,7,4500
714,147825,11,4900
715,289107,8,14800
716,549104,7,12400
717,71471,9,4400
718,280550,9,4700
719,313861,5,3900
720,341281,11,8800
721,849795,8,8500
722,947935,5,9100
723,756442,9,11000
724,124409,8,4200
725,528345,5,3800
726,245618,7,4500
727,421508,8,4400
728,302196,9,4400
729,108980,10,4200
730,11544,11,6500
731,512304,6,4200
732,55555,12,9400
733,32471,10,4400
734,507768,5,3900
735,507790,7,8300
736,925988,6,3900
737,110732,8,4500
738,641613,9,4900
739,291628,9,15000
740,909788,7,4400
741,647137,9,8300
742,473974,9,9300
743,901248,9,9000
744,872980,7,4400
745,883699,3,3500
746,6682,13,5300
747,328388,5,4000
748,652749,6,7900
749,599778,8,4500
750,498549,6,4200
751,297596,9,8700
752,138754,15,9400
753,693156,12,5100
754,773316,7,25400
755,677203,10,17200
756,70361,10,5300
757,575349,12,8100
758,243977,8,7400
759,301539,9,12600
760,5637,14,10500
761,191724,11,21100
762,535099,8,8300
763,656212,9,5000
764,199483,8,4000
765,782953,9,8700
766,199630,8,8200
767,606364,10,8300
768,102606,12,17800
769,463339,7,5300
770,376730,7,4200
771,779684,4,3700
772,802601,6,3900
773,99390,14,12600
774,99755,13,9200
775,173067,10,7400
776,695017,13,10700
777,870929,5,4000
778,762660,10,4400
779,678467,10,4700
780,981909,7,4800
781,907685,13,11600
782,787536,7,4400
783,189849,12,5000
784,436666,12,5300
785,850210,6,4000
786,551751,4,4100
787,569299,3,3200
788,570599,4,4300
789,432580,12,5400
790,74169,12,14600
791,191218,11,5100
792,40066,7,7700
793,845362,8,4700
794,784282,7,4200
795,86743,11,8900
796,531974,5,4100
797,96367,12,4700
798,693482,14,9800
799,185730,9,5000
800,585946,8,4400
801,646505,10,17700
802,650271,8,4300
803,863029,10,4800
804,718606,6,7300
805,121391,9,9100
806,761970,10,9400
807,3191,14,10700
808,832052,4,4100
809,234816,12,11000
810,788803,7,4400
811,420660,9,5100
812,116441,9,4900
813,341503,15,12300
814,987114,11,12700
815,188226,13,99500
816,842655,12,15100
817,111682,13,33400
818,308315,8,9500
819,310206,9,9300
820,654264,8,27900
821,850697,9,11600
822,980853,7,9100
823,532501,6,4100
824,85953,16,11000
825,308555,8,5500
826,260071,12,10700
827,342815,11,5200
828,200121,12,15200
829,619948,6,4400
830,887871,4,9300
831,962597,6,3900
832,909148,5,8200
833,166220,11,68900
834,760209,6,20800
835,897859,5,2800
836,370848,12,3300
837,613241,8,2800
838,352000,10,30200
839,650601,9,8000
840,633611,9,7000
841,482500,6,2600
842,56172,15,3300
843,908091,5,2100
844,933935,2,1600
845,941745,9,2700
846,854328,7,2300
847,275480,10,7100
848,36739,11,2600
849,664904,11,2600
850,748342,11,44000
851,404408,12,16000
852,896160,6,1900
853,572552,13,2100
854,231538,11,1800
855,865391,10,12600
856,62485,13,1700
857,743291,5,1500
858,595992,11,1500
859,247374,6,1300
860,778663,4,1500
861,425253,8,6100
862,402371,16,15000
863,959016,7,2800
864,463144,9,1800
865,378646,11,8400
866,206050,8,6000
867,140850,12,1700
868,465650,7,1400
869,179167,11,1600
870,7817,14,1600
871,30980,13,7200
872,958529,7,5400
873,152929,13,1600
874,285906,10,1700
875,884284,9,7000
876,278826,12,1600
877,197697,15,8100
878,171437,12,1600
879,132226,10,1600
880,506364,8,1300
881,832503,6,1500
882,89099,13,1600
883,346085,14,15700
884,232882,11,1700
885,709318,8,1600
886,447203,10,1300
887,862756,7,5700
888,733585,6,1500
889,297606,9,1600
890,190304,11,1500
891,75722,13,2800
892,715492,8,2700
893,921949,6,2600
894,451623,9,2600
895,217392,11,1700
896,616082,9,14000
897,273164,12,32600
898,216648,11,9600
899,637478,8,1700
900,900121,9,1800
901,495077,8,1600
902,623104,9,5100
903,62445,14,1800
904,450217,10,5700
905,174362,12,1600
906,206121,7,1500
907,38555,13,5400
908,714399,8,4300
909,6833,15,1500
910,498111,9,1400
911,736865,5,1300
912,743836,5,1300
913,367957,11,1800
914,330191,13,1500
915,886762,6,1500
916,235330,11,46700
917,371398,11,3600
918,918142,7,2000
919,455129,16,14800
920,633483,9,1900
921,415343,8,818900
922,715827,6,18500
923,31541,13,1300
924,698245,7,900
925,978200,5,1000
926,718370,6,700
927,753505,7,1000
928,780526,5,8600
929,36018,11,900
930,685750,6,800
931,369860,11,1100
932,221544,9,1000
933,703696,5,700
934,565338,6,900
935,488519,6,1400
936,224408,10,6200
937,110901,8,900
938,524645,10,5200
939,805436,3,700
940,779361,10,5800
941,424328,9,1000
942,440672,11,5000
943,910940,4,900
944,876920,5,900
945,755492,7,800
946,678708,9,4700
947,15145,15,1200
948,801444,6,4400
949,394060,11,900
950,417909,8,4600
951,754610,8,1300
952,857429,13,8100
953,200187,7,1200
954,347333,12,900
955,772469,4,700
956,396382,9,5000
957,120282,11,900
958,614438,8,900
959,31518,12,1000
960,588495,9,4900
961,70987,10,900
962,780384,4,600
963,889582,5,4500
964,508723,6,800
965,389794,16,6400
966,311947,8,800
967,854775,9,900
968,972835,6,800
969,465012,10,4900
970,39290,10,900
971,182659,10,900
972,360005,15,5600
973,166471,12,1000
974,951300,10,900
975,453589,12,800
976,532901,11,6300
977,837929,10,900
978,838256,10,700
979,743815,6,800
980,985197,6,900
981,383260,13,13300
982,969788,4,900
983,134162,10,5000
984,106564,10,900
985,543086,8,900
986,899274,5,800
987,276076,10,900
988,673409,10,1000
989,324328,6,700
990,926248,4,700
991,807820,2,500
992,465227,8,600
993,186204,10,700
994,342522,11,900
995,275465,12,900
996,482511,8,6200
997,99361,14,5300
998,393542,11,800
999,642592,8,900
1000,642908,10,4800
1001,130716,14,4700
1002,594780,11,800
1003,47892,10,4300
1004,534238,8,900
1005,740660,7,700
1006,627936,12,3200
1007,319536,10,1500
1008,848373,7,1200
1009,546983,9,1200
1010,27574,10,1100
1011,59048,17,11700
1012,213105,13,1100
1013,307131,6,1000
1014,78664,12,349400
1015,138718,16,16100
1016,179692,12,10700
1017,787596,8,1100
1018,746486,5,5000
1019,369856,11,4600
1020,240004,8,900
1021,952708,10,12200
1022,364635,11,7200
1023,464142,7,1000
1024,343476,14,1000
1025,852458,10,8300
1026,996281,3,800
1027,27257,13,5600
1028,718159,7,1000
1029,955217,6,800
1030,836992,11,5200
1031,942119,8,800
