step,key,operations,nanos
454,428921,16,5000
455,27108,13,2200
456,551286,14,2200
457,186644,9,2200
458,924350,18,5100
459,804598,15,4600
460,857144,11,2300
461,597784,13,5900
462,708948,15,5800
463,87153,11,4700
464,175131,15,2600
465,487955,13,4300
466,162122,10,2500
467,808651,16,8600
468,800003,11,2300
469,643620,9,2400
470,936759,16,8300
471,154074,12,3900
472,859176,16,4300
473,803894,11,3500
474,822895,15,4500
475,938634,12,3700
476,397656,10,13100
477,797684,8,4500
478,388713,10,8800
479,974946,16,6400
480,530761,10,7700
481,787306,15,7100
482,546125,10,2900
483,532366,13,5200
484,873825,10,2400
485,535678,13,6200
486,766094,7,6600
487,171312,17,7200
488,609242,9,4300
489,67129,14,6000
490,791087,15,7000
491,396027,14,5900
492,770992,15,8500
493,11203,5,12000
494,963146,15,4900
495,321591,17,5400
496,322468,14,3700
497,750729,10,9400
498,332654,11,5000
499,834409,12,4500
500,749077,9,18100
501,261715,12,13500
502,649781,11,6300
503,556778,11,6000
504,197697,17,4900
505,266374,12,6100
506,149331,14,2600
507,304161,10,2100
508,551250,14,4400
509,732622,15,4700
510,632992,11,2300
511,847393,20,4800
512,876515,12,20300
513,656693,8,2700
514,989577,16,4900
515,625911,15,5300
516,235048,13,7200
517,22995,6,2500
518,990787,17,4700
519,95925,12,9400
520,264999,13,3500
521,546558,8,2600
522,927339,17,6600
523,824371,17,5100
524,829902,10,2100
525,559387,9,2400
526,792758,15,6700
527,643364,7,3600
528,693889,13,6300
529,541349,13,7900
530,564939,14,7300
531,194007,15,5400
532,485304,9,2500
533,822456,17,7200
534,826981,18,3700
535,125322,13,13600
536,562391,12,2700
537,446477,16,5300
538,765687,15,9100
539,182192,13,4900
540,849731,15,4700
541,948623,16,5600
542,884739,11,2600
543,263622,10,6900
544,391813,9,5100
545,823129,14,99300
546,40651,9,5100
547,600551,16,6000
548,124921,10,7000
549,26585,9,4100
550,606364,21,7100
551,872980,9,5100
552,354815,14,4700
553,380838,17,8600
554,819559,15,6300
555,184675,14,5500
556,504918,12,6400
557,595327,17,2200
558,496655,9,7400
559,959708,19,4800
560,76073,5,5500
561,782953,14,8400
562,285825,15,6700
563,765852,15,15800
564,256267,15,9100
565,925015,15,6900
566,654478,9,4800
567,247206,12,4900
568,973604,12,4600
569,228287,9,22700
570,39134,6,2400
571,48687,8,5200
572,500320,13,5700
573,564559,16,2500
574,826928,18,5100
575,543086,15,5500
576,103694,12,7900
577,626285,10,6800
578,123445,9,6300
579,983847,17,8100
