Номер операции,Время(нс),Количество операций
697 , 1400 , 7
698 , 2100 , 12
699 , 8400 , 15
700 , 2300 , 13
701 , 3000 , 12
702 , 7500 , 12
703 , 8400 , 11
704 , 12700 , 13
705 , 1900 , 10
706 , 2900 , 10
707 , 3900 , 14
708 , 4500 , 19
709 , 1900 , 9
710 , 3100 , 15
711 , 2900 , 19
712 , 5800 , 11
713 , 5000 , 19
714 , 2300 , 11
715 , 1200 , 9
716 , 4200 , 21
717 , 2400 , 13
718 , 4400 , 12
719 , 2700 , 14
720 , 7100 , 9
721 , 12300 , 16
722 , 3600 , 18
723 , 8300 , 12
724 , 2500 , 12
725 , 1700 , 7
726 , 4000 , 5
727 , 7200 , 16
728 , 11800 , 18
729 , 9900 , 14
730 , 4200 , 15
731 , 8400 , 12
732 , 7900 , 6
733 , 3300 , 14
734 , 9100 , 11
735 , 1900 , 8
736 , 2900 , 14
737 , 2600 , 7
738 , 1400 , 14
739 , 6500 , 14
740 , 1700 , 15
741 , 1800 , 12
742 , 7500 , 11
743 , 1900 , 18
744 , 5900 , 9
745 , 1700 , 10
746 , 1900 , 12
747 , 2600 , 13
748 , 3600 , 11
749 , 3400 , 13
750 , 4400 , 10
751 , 1700 , 10
752 , 6100 , 12
753 , 1500 , 9
754 , 1700 , 20
755 , 1700 , 11
756 , 2200 , 12
757 , 1900 , 14
758 , 2300 , 16
759 , 2100 , 7
760 , 1400 , 10
761 , 1800 , 11
762 , 3700 , 8
763 , 1700 , 12
764 , 2100 , 13
765 , 2000 , 10
766 , 1900 , 16
767 , 1600 , 15
768 , 17800 , 15
769 , 4900 , 14
770 , 2600 , 17
771 , 1500 , 7
772 , 2900 , 8
773 , 9600 , 13
774 , 8100 , 9
775 , 3000 , 9
776 , 1500 , 12
777 , 1500 , 10
778 , 12800 , 12
779 , 12600 , 11
780 , 2800 , 14
781 , 1900 , 16
782 , 5200 , 16
783 , 1400 , 19
784 , 7200 , 8
785 , 1500 , 12
786 , 3100 , 12
787 , 1100 , 14
788 , 6800 , 14
789 , 1200 , 13
790 , 7900 , 9
791 , 3700 , 12
792 , 5900 , 10
793 , 1700 , 6
794 , 4200 , 13
795 , 2800 , 8
796 , 2800 , 20
797 , 1700 , 8
798 , 8000 , 19
799 , 4900 , 14
800 , 5100 , 11
801 , 1500 , 14
802 , 5200 , 9
803 , 2200 , 16
804 , 16200 , 12
805 , 16700 , 17
806 , 10000 , 12
807 , 4100 , 12
808 , 12200 , 10
809 , 5300 , 7
810 , 10000 , 13
811 , 7700 , 15
812 , 1900 , 9
813 , 8600 , 13
814 , 1800 , 11
815 , 5400 , 9
816 , 1900 , 7
817 , 2200 , 10
818 , 2100 , 9
819 , 1800 , 13
820 , 5200 , 9
821 , 1900 , 12
822 , 3800 , 12
823 , 4600 , 7
824 , 7300 , 10
825 , 5500 , 13
826 , 4800 , 12
827 , 1600 , 14
828 , 3600 , 13
829 , 6900 , 17
830 , 1800 , 12
831 , 3200 , 10
832 , 6800 , 10
833 , 7400 , 12
834 , 6800 , 12
835 , 4500 , 16
836 , 8400 , 9
837 , 2000 , 11
838 , 2900 , 12
839 , 5900 , 15
840 , 1500 , 9
841 , 8600 , 8
842 , 2700 , 11
843 , 3400 , 8
844 , 2900 , 14
845 , 1300 , 15
846 , 3500 , 12
847 , 3000 , 9
848 , 1500 , 14
849 , 3300 , 10
850 , 4600 , 12
851 , 1300 , 9
852 , 3200 , 17
853 , 1800 , 13
854 , 5800 , 7
855 , 6100 , 12
856 , 9700 , 7
857 , 2200 , 10
858 , 1700 , 13
859 , 1900 , 14
860 , 3900 , 15
861 , 4400 , 9
862 , 7600 , 16
863 , 3100 , 7
864 , 9300 , 7
865 , 5300 , 12
866 , 2400 , 12
867 , 1400 , 10
868 , 1000 , 9
869 , 1300 , 10
870 , 3600 , 11
871 , 4700 , 9
872 , 2100 , 15
873 , 3600 , 9
874 , 2200 , 14
875 , 1200 , 9
876 , 5600 , 8
877 , 2000 , 9
878 , 1200 , 16
879 , 3300 , 17
880 , 1200 , 13
881 , 1800 , 13
882 , 3100 , 15
883 , 8200 , 11
884 , 1700 , 12
885 , 2700 , 14
886 , 1400 , 16
887 , 1300 , 9
888 , 2200 , 13
889 , 900 , 15
890 , 3200 , 14
891 , 9700 , 7
892 , 8000 , 10
893 , 3900 , 18
894 , 2700 , 15
895 , 7900 , 17
896 , 27500 , 14
897 , 4000 , 19
898 , 4300 , 11
899 , 9400 , 11
900 , 2600 , 13
901 , 3000 , 13
902 , 1700 , 9
903 , 9000 , 17
904 , 4100 , 17
905 , 1500 , 7
906 , 13700 , 18
907 , 2500 , 13
908 , 2000 , 8
909 , 1600 , 8
910 , 8800 , 17
911 , 1600 , 8
912 , 1800 , 11
913 , 1600 , 15
914 , 25000 , 11
915 , 2100 , 11
916 , 9400 , 14
917 , 5400 , 10
918 , 4300 , 16
919 , 1600 , 7
920 , 4900 , 17
921 , 7800 , 10
922 , 5700 , 7
923 , 2800 , 8
924 , 9500 , 10
925 , 35400 , 21
926 , 2900 , 15
927 , 2600 , 13
928 , 2000 , 3
929 , 3900 , 13
930 , 1300 , 13
931 , 3600 , 14
932 , 13700 , 13
933 , 244500 , 8
934 , 5400 , 7
935 , 1600 , 7
936 , 5200 , 8
937 , 2200 , 15
938 , 1700 , 10
939 , 1600 , 12
940 , 3000 , 9
941 , 4800 , 13
942 , 1500 , 13
943 , 3900 , 5
944 , 1400 , 11
945 , 2600 , 13
946 , 3800 , 10
947 , 3100 , 10
948 , 5100 , 15
949 , 2400 , 12
950 , 3300 , 16
951 , 18700 , 14
952 , 3500 , 9
953 , 3300 , 16
954 , 1700 , 9
955 , 1400 , 10
956 , 1800 , 10
957 , 4300 , 8
958 , 3400 , 10
959 , 3600 , 6
960 , 1500 , 8
961 , 9700 , 11
962 , 2500 , 14
963 , 2900 , 11
964 , 1200 , 5
965 , 3500 , 11
966 , 3400 , 9
967 , 1500 , 11
968 , 2100 , 10
969 , 7900 , 13
970 , 1900 , 12
971 , 3400 , 13
972 , 1800 , 11
973 , 4000 , 12
974 , 3300 , 18
975 , 3200 , 11
976 , 2100 , 11
977 , 2200 , 10
978 , 7500 , 13
979 , 2200 , 11
980 , 1800 , 13
981 , 3500 , 10
982 , 4700 , 13
983 , 2400 , 14
984 , 2200 , 13
985 , 1700 , 7
986 , 2100 , 9
987 , 7500 , 19
988 , 20700 , 7
989 , 4300 , 12
990 , 1300 , 16
991 , 5700 , 17
992 , 3800 , 12
993 , 1100 , 11
994 , 900 , 16
995 , 3000 , 10
996 , 4000 , 13
997 , 2100 , 14
998 , 4700 , 17
999 , 2100 , 14
1000 , 1300 , 14
