Номер операции,Время(нс),Количество операций
605 , 3400 , 13
606 , 700 , 10
607 , 700 , 7
608 , 600 , 8
609 , 600 , 10
610 , 600 , 7
611 , 500 , 9
612 , 600 , 9
613 , 3500 , 10
614 , 2900 , 9
615 , 700 , 11
616 , 600 , 11
617 , 2600 , 9
618 , 800 , 4
619 , 6700 , 16
620 , 800 , 10
621 , 500 , 9
622 , 500 , 6
623 , 600 , 6
624 , 500 , 4
625 , 600 , 11
626 , 3200 , 15
627 , 700 , 7
628 , 2500 , 11
629 , 5000 , 6
630 , 900 , 8
631 , 2900 , 5
632 , 600 , 6
633 , 500 , 7
634 , 3400 , 9
635 , 800 , 12
636 , 600 , 5
637 , 700 , 9
638 , 500 , 7
639 , 500 , 5
640 , 2400 , 12
641 , 800 , 10
642 , 500 , 6
643 , 600 , 14
644 , 700 , 8
645 , 600 , 10
646 , 700 , 10
647 , 700 , 8
648 , 700 , 8
649 , 600 , 10
650 , 500 , 3
651 , 3700 , 10
652 , 900 , 7
653 , 600 , 8
654 , 500 , 6
655 , 500 , 7
656 , 500 , 8
657 , 600 , 6
658 , 3100 , 10
659 , 3100 , 10
660 , 800 , 5
661 , 600 , 7
662 , 3000 , 7
663 , 800 , 10
664 , 600 , 5
665 , 600 , 7
666 , 500 , 5
667 , 500 , 6
668 , 700 , 8
669 , 500 , 5
670 , 600 , 9
671 , 500 , 5
672 , 700 , 13
673 , 700 , 12
674 , 600 , 6
675 , 500 , 5
676 , 500 , 12
677 , 600 , 11
678 , 500 , 6
679 , 400 , 6
680 , 600 , 7
681 , 3400 , 8
682 , 700 , 11
683 , 2800 , 8
684 , 600 , 6
685 , 600 , 5
686 , 600 , 8
687 , 2500 , 7
688 , 2800 , 11
689 , 1200 , 8
690 , 700 , 6
691 , 600 , 8
692 , 3700 , 10
693 , 600 , 3
694 , 3100 , 13
695 , 700 , 9
696 , 2400 , 8
697 , 700 , 6
698 , 800 , 13
699 , 600 , 9
700 , 3200 , 7
701 , 2700 , 7
702 , 2600 , 9
703 , 600 , 4
704 , 600 , 15
705 , 3200 , 8
706 , 500 , 5
707 , 2000 , 4
708 , 600 , 11
709 , 500 , 9
710 , 2700 , 9
711 , 800 , 8
712 , 2800 , 11
713 , 2800 , 15
714 , 700 , 6
715 , 700 , 8
716 , 500 , 6
717 , 3000 , 11
718 , 2500 , 10
719 , 700 , 9
720 , 600 , 7
721 , 600 , 12
722 , 3100 , 14
723 , 500 , 4
